"accession_name","plot_ct","trial_ct","2022_ct","CIAT. Valle, Colombia_ct","Repelon. Atlantico, Colombia_ct","Cerete. Cordoba, Colombia_ct"
"SM2828-28",26,3,3,1,1,1
"CG1141-1_is_Costena",20,3,3,1,1,1
"SMB2446-2_is_Caiseli",20,3,3,1,1,1
"SM2775-4_is_Bellotti",17,3,3,1,1,1
"SM3559-11",17,3,3,1,1,1
"C243",16,3,3,1,1,1
"TAI8_is_TAI",16,3,3,1,1,1
"CM4919-1_is_Veronica",8,1,1,1,0,0
"AM1472A-10",5,3,3,1,1,1
"AM1472A-100",5,3,3,1,1,1
"AM1472A-101",5,3,3,1,1,1
"AM1472A-102",5,3,3,1,1,1
"AM1472A-103",5,3,3,1,1,1
"AM1472A-104",5,3,3,1,1,1
"AM1472A-105",5,3,3,1,1,1
"AM1472A-106",5,3,3,1,1,1
"AM1472A-107",5,3,3,1,1,1
"AM1472A-108",5,3,3,1,1,1
"AM1472A-109",5,3,3,1,1,1
"AM1472A-11",5,3,3,1,1,1
"AM1472A-110",5,3,3,1,1,1
"AM1472A-111",5,3,3,1,1,1
"AM1472A-112",5,3,3,1,1,1
"AM1472A-113",5,3,3,1,1,1
"AM1472A-114",5,3,3,1,1,1
"AM1472A-115",5,3,3,1,1,1
"AM1472A-116",5,3,3,1,1,1
"AM1472A-117",5,3,3,1,1,1
"AM1472A-118",5,3,3,1,1,1
"AM1472A-119",5,3,3,1,1,1
"AM1472A-12",5,3,3,1,1,1
"AM1472A-120",5,3,3,1,1,1
"AM1472A-121",5,3,3,1,1,1
"AM1472A-122",5,3,3,1,1,1
"AM1472A-123",5,3,3,1,1,1
"AM1472A-124",5,3,3,1,1,1
"AM1472A-125",5,3,3,1,1,1
"AM1472A-127",5,3,3,1,1,1
"AM1472A-128",5,3,3,1,1,1
"AM1472A-129",5,3,3,1,1,1
"AM1472A-13",5,3,3,1,1,1
"AM1472A-130",5,3,3,1,1,1
"AM1472A-132",5,3,3,1,1,1
"AM1472A-133",5,3,3,1,1,1
"AM1472A-134",5,3,3,1,1,1
"AM1472A-136",5,3,3,1,1,1
"AM1472A-138",5,3,3,1,1,1
