"year","trial_name","trial_type","plot_width","plot_length","plant_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","vigor1_5","planted_number_plot","germinated_number_plot","thrips1_5","germination_perc"
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-100_731",1,731,25,11,"test"," (Operator: lizbethpino, Time: )","AM1472A-100","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-101_64",1,64,3,4,"test"," (Operator: lizbethpino, Time: )","AM1472A-101","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",5,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-102_41",1,41,2,20,"test"," (Operator: lizbethpino, Time: )","AM1472A-102","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,3,NA,75
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-103_741",1,741,25,21,"test"," (Operator: lizbethpino, Time: )","AM1472A-103","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",4,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-104_612",1,612,21,12,"test"," (Operator: lizbethpino, Time: )","AM1472A-104","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-105_562",1,562,19,22,"test"," (Operator: lizbethpino, Time: )","AM1472A-105","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",4,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-106_336",1,336,12,25,"test"," (Operator: lizbethpino, Time: )","AM1472A-106","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-107_449",1,449,15,29,"test"," (Operator: lizbethpino, Time: )","AM1472A-107","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",4,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-108_145",1,145,5,25,"test"," (Operator: lizbethpino, Time: )","AM1472A-108","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,3,NA,75
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-10_819",1,819,28,22,"test"," (Operator: lizbethpino, Time: )","AM1472A-10","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-109_416",1,416,14,5,"test"," (Operator: lizbethpino, Time: )","AM1472A-109","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",5,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-110_624",1,624,21,24,"test"," (Operator: lizbethpino, Time: )","AM1472A-110","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-111_311",1,311,11,11,"test"," (Operator: lizbethpino, Time: )","AM1472A-111","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-112_414",1,414,14,7,"test"," (Operator: lizbethpino, Time: )","AM1472A-112","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,2,NA,50
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-113_465",1,465,16,16,"test"," (Operator: lizbethpino, Time: )","AM1472A-113","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",4,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-114_196",1,196,7,16,"test"," (Operator: lizbethpino, Time: )","AM1472A-114","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-115_625",1,625,21,25,"test"," (Operator: lizbethpino, Time: )","AM1472A-115","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,3,NA,75
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-116_441",1,441,15,21,"test"," (Operator: lizbethpino, Time: )","AM1472A-116","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-117_116",1,116,4,5,"test"," (Operator: lizbethpino, Time: )","AM1472A-117","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",4,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-11_766",1,766,26,15,"test"," (Operator: lizbethpino, Time: )","AM1472A-11","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-118_23",1,23,1,23,"test"," (Operator: lizbethpino, Time: )","AM1472A-118","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-119_228",1,228,8,13,"test"," (Operator: lizbethpino, Time: )","AM1472A-119","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-120_327",1,327,11,27,"test"," (Operator: lizbethpino, Time: )","AM1472A-120","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-121_686",1,686,23,26,"test"," (Operator: lizbethpino, Time: )","AM1472A-121","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-122_44",1,44,2,17,"test"," (Operator: lizbethpino, Time: )","AM1472A-122","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-123_548",1,548,19,8,"test"," (Operator: lizbethpino, Time: )","AM1472A-123","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-124_173",1,173,6,8,"test"," (Operator: lizbethpino, Time: )","AM1472A-124","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",4,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-125_8",1,8,1,8,"test"," (Operator: lizbethpino, Time: )","AM1472A-125","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-126_909",1,909,31,9,"test"," (Operator: lizbethpino, Time: )","AM1472A-126","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,2,NA,50
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-12_7",1,7,1,7,"test"," (Operator: lizbethpino, Time: )","AM1472A-12","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-127_255",1,255,9,15,"test"," (Operator: lizbethpino, Time: )","AM1472A-127","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-1_277",1,277,10,24,"test"," (Operator: lizbethpino, Time: )","AM1472A-1","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",1,4,4,NA,100
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-128_869",1,869,29,29,"test"," (Operator: lizbethpino, Time: )","AM1472A-128","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2,4,3,NA,75
"2022","202266IDEPR_ciat","202266IDEPR_ciat",1.2,3.2,"2022-July-19","CIAT. Valle, Colombia","","202266IDEPR_ciat_rep1_AM1472A-129_473",1,473,16,8,"test"," (Operator: lizbethpino, Time: )","AM1472A-129","test",3.48333333333333,-76.3666666666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3,4,3,NA,75
